Plampa23756	K01803
Plampa168743	K11833
Plampa143880	K01869
Plampa314706	K09420
Plampa258813	K15116
Plampa121116	K01279
Plampa14983	K00287
Plampa46022	K01469
Plampa68868	K09580
Plampa166505	K07509
Plampa81437	K12132
Plampa284101	K05768
Plampa290646	K09516
Plampa93190	K01802
Plampa110640	K10413
Plampa10518	K00213
Plampa225918	K01365
Plampa17353	K01365
Plampa191986	K15283
Plampa131707	K04706
Plampa1321	K08892
Plampa165330	K23544
Plampa45441	K00859
Plampa112066	K05022
Plampa20058	K04615
Plampa28213	K18764
Plampa16277	K05695
Plampa5974	K14855
Plampa374929	K01845
Plampa188337	K10736
Plampa6530	K04422
Plampa379	K15519
Plampa347102	K10203
Plampa31835	K00390
Plampa89411	K03263
Plampa70438	K10428
Plampa20994	K17751
Plampa2123	K14788
Plampa69313	K10413
Plampa345986	K18169
Plampa1742	K10595
Plampa259	K19721
Plampa64237	K02880
Plampa259655	K11491
Plampa4797	K24185
Plampa11992	K14849
Plampa314611	K02516
Plampa306386	K08910
Plampa38291	K11420
Plampa71671	K08907
Plampa183810	K02262
Plampa8709	K00505
Plampa111974	K02937
Plampa344495	K06237
Plampa4611	K14309
Plampa89355	K02154
Plampa310001	K01254
Plampa262597	K01735
Plampa29113	K01135
Plampa89827	K23720
Plampa15264	K24741
Plampa122671	K24683
Plampa49995	K07359
Plampa223149	K00931
Plampa374008	K03687
Plampa257242	K17686
Plampa39187	K04371
Plampa88551	K00831
Plampa98513	K16455
Plampa345174	K00382
Plampa8150	K07497
Plampa279711	K00658
Plampa165231	K00710
Plampa358996	K01580
Plampa22051	K12233
Plampa22504	K24478
Plampa255113	K24935
Plampa11711	K02599
Plampa311578	K08900
Plampa262940	K15028
Plampa32209	K03231
Plampa9113	K08495
Plampa345891	K03453
Plampa67433	K11593
Plampa300655	K00812
Plampa97935	K12472
Plampa258344	K00276
Plampa13186	K23957
Plampa7028	K17686
Plampa262987	K00804
Plampa345943	K00227
Plampa15169	K06835
Plampa15270	K25356
Plampa218752	K01488
Plampa88525	K18598
Plampa143441	K25442
Plampa224515	K22697
Plampa17181	K08916
Plampa189576	K14454
Plampa211821	K05387
Plampa209060	K01408
Plampa33376	K10567
Plampa275057	K20409
Plampa212103	K08076
Plampa215514	K10085
Plampa51968	K05759
Plampa110845	K02145
Plampa80823	K10407
Plampa105616	K03363
Plampa124074	K17506
Plampa3696	K01251
Plampa2855	K04441
Plampa20628	K14857
Plampa14076	K06777
Plampa209450	K13539
Plampa23629	K06129
Plampa38912	K16618
Plampa23816	K15691
Plampa14339	K02997
Plampa11785	K14834
Plampa172010	K04043
Plampa57354	K14802
Plampa2287	K08489
Plampa10315	K11997
Plampa2957	K08288
Plampa170328	K00763
Plampa181566	K08869
Plampa7420	K03308
Plampa369	K12875
Plampa274931	K00383
Plampa29313	K09521
Plampa119352	K20221
Plampa98318	K02925
Plampa2962	K05673
Plampa352258	K17352
Plampa311735	K12200
Plampa169741	K03841
Plampa183019	K01231
Plampa264232	K07901
Plampa274379	K00789
Plampa139090	K12818
Plampa67780	K09554
Plampa5331	K20471
Plampa38427	K02981
Plampa45705	K14638
Plampa88562	K07198
Plampa96355	K08727
Plampa1912	K05643
Plampa9273	K12598
Plampa274050	K08656
Plampa14425	K22544
Plampa24349	K10456
Plampa45843	K11253
Plampa6573	K02138
Plampa62108	K10579
Plampa47837	K19006
Plampa301804	K07497
Plampa3709	K15264
Plampa283611	K14775
Plampa102490	K01599
Plampa119733	K07151
Plampa28630	K01100
Plampa351250	K17086
Plampa106135	K03094
Plampa3337	K08333
Plampa62201	K13303
Plampa257275	K06158
Plampa24668	K24732
Plampa16535	K10473
Plampa235331	K05349
Plampa174129	K00432
Plampa349182	K16795
Plampa3803	K12494
Plampa100	K18405
Plampa166401	K00888
Plampa267820	K14437
Plampa209246	K02519
Plampa80852	K00863
Plampa347708	K01609
Plampa11015	K12194
Plampa13855	K04733
Plampa11946	K17689
Plampa44945	K06051
Plampa68178	K17920
Plampa176676	K04600
Plampa13087	K10380
Plampa308922	K03234
Plampa40856	K13243
Plampa56419	K04634
Plampa215828	K12195
Plampa68392	K07375
Plampa85623	K02145
Plampa327095	K11131
Plampa265898	K04372
Plampa58209	K00280
Plampa7307	K05948
Plampa197199	K11800
Plampa140498	K02325
Plampa762	K01823
Plampa5741	K23569
Plampa134814	K01834
Plampa365655	K04097
Plampa36188	K14309
Plampa11305	K17592
Plampa20982	K01082
Plampa20179	K05086
Plampa2928	K01834
Plampa99320	K11651
Plampa302347	K11253
Plampa48712	K02960
Plampa120534	K06704
Plampa125536	K01285
Plampa54589	K02885
Plampa345399	K06252
Plampa3461	K21954
Plampa170638	K13348
Plampa64889	K09419
Plampa120847	K24964
Plampa38969	K14005
Plampa9746	K10394
Plampa271154	K02150
Plampa14468	K02923
Plampa61233	K24936
Plampa217075	K02934
Plampa240556	K00135
Plampa879	K05110
Plampa45984	K01652
Plampa6904	K03654
Plampa14241	K15338
Plampa43507	K00616
Plampa43118	K03120
Plampa257939	K20303
Plampa63444	K24834
Plampa257178	K05502
Plampa18254	K24680
Plampa209036	K14521
Plampa38392	K02866
Plampa214742	K09480
Plampa67291	K01369
Plampa140713	K01349
Plampa2013	K09214
Plampa18277	K24537
Plampa104510	K11646
Plampa268167	K03932
Plampa212050	K05665
Plampa10229	K12035
Plampa345001	K03111
Plampa12541	K14753
Plampa32697	K24485
Plampa224880	K23532
Plampa61904	K09580
Plampa225961	K05756
Plampa312080	K07497
Plampa359699	K09478
Plampa167455	K05312
Plampa1649	K04354
Plampa1718	K24814
Plampa44874	K03155
Plampa237	K13912
Plampa135788	K14965
Plampa3188	K05673
Plampa78012	K15275
Plampa119186	K12132
Plampa4971	K02898
Plampa46552	K10451
Plampa174086	K11422
Plampa134216	K24675
Plampa67665	K02984
Plampa374830	K10295
Plampa268869	K04644
Plampa103083	K08794
Plampa166748	K02261
Plampa76793	K08857
Plampa49056	K17686
Plampa60346	K11502
Plampa13709	K22734
Plampa357500	K02739
Plampa19066	K22377
Plampa221570	K03686
Plampa303248	K18460
Plampa346463	K21437
Plampa126177	K22371
Plampa125681	K04077
Plampa81062	K10435
Plampa119277	K01681
Plampa3724	K13696
Plampa6688	K08776
Plampa3944	K01099
Plampa83613	K20689
Plampa6812	K08833
Plampa68019	K16726
Plampa220691	K03934
Plampa218520	K07817
Plampa128097	K04799
Plampa260240	K07767
Plampa257859	K12402
Plampa14276	K00794
Plampa367517	K01870
Plampa4387	K24996
Plampa28773	K13050
Plampa151224	K10742
Plampa23479	K12616
Plampa4579	K15437
Plampa176485	K22210
Plampa861	K05619
Plampa211896	K15111
Plampa16653	K19678
Plampa179113	K15889
Plampa128670	K02115
Plampa362408	K01006
Plampa227186	K02371
Plampa42381	K00645
Plampa17056	K11997
Plampa10440	K12035
Plampa11213	K04378
Plampa350561	K11843
Plampa8254	K16506
Plampa163775	K09839
Plampa4843	K20401
Plampa16090	K09624
Plampa149697	K00121
Plampa22903	K23538
Plampa11329	K17043
Plampa55704	K08776
Plampa68371	K18082
Plampa194453	K02598
Plampa5856	K10799
Plampa36756	K21595
Plampa45588	K10523
Plampa77194	K17338
Plampa45389	K16767
Plampa80785	K10380
Plampa358289	K11252
Plampa353478	K05788
Plampa37450	K01969
Plampa55686	K04373
Plampa20290	K15362
Plampa46460	K01601
Plampa21259	K08770
Plampa33913	K21440
Plampa174068	K15376
Plampa130379	K10799
Plampa32706	K05677
Plampa81008	K01381
Plampa51973	K16726
Plampa103775	K01712
Plampa255723	K16197
Plampa261393	K09479
Plampa14976	K00059
Plampa64380	K10356
Plampa70953	K05015
Plampa344980	K11188
Plampa2779	K24795
Plampa4732	K04365
Plampa10815	K14559
Plampa120275	K23909
Plampa212370	K14964
Plampa302823	K00432
Plampa302707	K23424
Plampa6213	K14326
Plampa356941	K09516
Plampa366004	K06689
Plampa2514	K20520
Plampa361046	K03531
Plampa1402	K06230
Plampa14555	K10380
Plampa63869	K11757
Plampa68248	K07497
Plampa11068	K01889
Plampa1283	K17918
Plampa352958	K19998
Plampa258217	K02210
Plampa111543	K06670
Plampa14727	K01710
Plampa282335	K08735
Plampa79586	K06324
Plampa10437	K11583
Plampa131350	K00731
Plampa217542	K22943
Plampa126449	K05704
Plampa136032	K09613
Plampa27012	K07494
Plampa119698	K00457
Plampa16449	K05128
Plampa13691	K02492
Plampa123200	K09419
Plampa258801	K00789
Plampa225721	K16621
Plampa93949	K15255
Plampa171239	K17609
Plampa14307	K09848
Plampa455	K20994
Plampa6262	K10610
Plampa97841	K22037
Plampa354721	K03927
Plampa354204	K11863
Plampa53940	K03234
Plampa81248	K20526
Plampa35140	K02716
Plampa112115	K01648
Plampa50339	K01336
Plampa223757	K04565
Plampa53634	K02976
Plampa1251	K12306
Plampa6170	K00286
Plampa5069	K12486
Plampa44609	K12859
Plampa5551	K04699
Plampa89186	K03686
Plampa235602	K23696
Plampa15521	K08463
Plampa7401	K12878
Plampa126468	K01563
Plampa142492	K01395
Plampa177506	K03844
Plampa52218	K03174
Plampa256904	K01897
Plampa224626	K10251
Plampa214387	K00559
Plampa80503	K05692
Plampa262158	K11353
Plampa264113	K00698
Plampa356290	K01874
Plampa62836	K02874
Plampa139013	K10413
Plampa226587	K00974
Plampa8649	K09288
Plampa13588	K15259
Plampa1623	K05768
Plampa163510	K12393
Plampa63886	K05768
Plampa259747	K09838
Plampa356140	K23195
Plampa19606	K20865
Plampa121828	K01223
Plampa134530	K06941
Plampa6590	K02369
Plampa307457	K04043
Plampa73109	K24501
Plampa344380	K03014
Plampa56781	K08874
Plampa76234	K02035
Plampa45213	K05312
Plampa144474	K04354
Plampa240742	K02884
Plampa22343	K03942
Plampa1360	K24721
Plampa180910	K03695
Plampa110763	K14074
Plampa326	K04858
Plampa8738	K13098
Plampa12973	K02978
Plampa191244	K06082
Plampa43523	K11124
Plampa976	K22381
Plampa79264	K04984
Plampa49719	K01312
Plampa121159	K00850
Plampa33785	K06225
Plampa138491	K13143
Plampa34335	K03671
Plampa360118	K02156
Plampa117774	K19007
Plampa116841	K12392
Plampa11770	K01251
Plampa177721	K10523
Plampa3638	K03130
Plampa16002	K14972
Plampa124160	K02727
Plampa13832	K18260
Plampa89076	K06626
Plampa100724	K00106
Plampa199635	K20689
Plampa81815	K01403
Plampa309850	K17279
Plampa255227	K02180
Plampa358518	K11654
Plampa47248	K11997
Plampa175272	K00548
Plampa166996	K12862
Plampa18399	K01915
Plampa99699	K17095
Plampa39364	K05633
Plampa80183	K02925
Plampa174872	K17923
Plampa328420	K05694
Plampa101229	K00262
Plampa261001	K01689
Plampa267701	K09480
Plampa204308	K09710
Plampa5390	K20360
Plampa12450	K18749
Plampa349874	K15119
Plampa96423	K11594
Plampa41022	K11319
Plampa63739	K24427
Plampa171480	K13126
Plampa138320	K03372
Plampa33952	K14292
Plampa18646	K10380
Plampa71435	K18585
Plampa198659	K02739
Plampa8159	K21915
Plampa41065	K08907
Plampa177557	K01897
Plampa124068	K01540
Plampa6130	K08770
Plampa70835	K08132
Plampa304215	K06530
Plampa4137	K10646
Plampa35402	K16513
Plampa91200	K02955
Plampa352745	K01759
Plampa27151	K08592
Plampa47762	K05236
Plampa33755	K03063
Plampa111509	K01201
Plampa84	K10862
Plampa144668	K10529
Plampa354711	K16353
Plampa28264	K09848
Plampa24970	K12472
Plampa213667	K20292
Plampa111105	K00281
Plampa21070	K14716
Plampa221879	K01870
Plampa21934	K11428
Plampa2331	K02146
Plampa955	K06237
Plampa127269	K01194
Plampa100623	K12200
Plampa100217	K17261
Plampa1839	K10380
Plampa31197	K24936
Plampa221292	K02731
Plampa29055	K07889
Plampa247947	K09228
Plampa14450	K23859
Plampa3596	K00653
Plampa183779	K22686
Plampa10662	K04592
Plampa300803	K24175
Plampa145572	K13179
Plampa82903	K05732
Plampa40707	K09273
Plampa7181	K06027
Plampa215543	K04533
Plampa11099	K18163
Plampa273265	K07943
Plampa126890	K05665
Plampa20900	K24757
Plampa6696	K24834
Plampa49496	K03363
Plampa361098	K00958
Plampa255591	K15516
Plampa18523	K12600
Plampa209795	K00456
Plampa14599	K08765
Plampa25371	K05285
Plampa108057	K01648
Plampa9389	K01974
Plampa26259	K08727
Plampa131486	K10577
Plampa190318	K10908
Plampa326164	K09553
Plampa183252	K12843
Plampa164850	K01674
Plampa3319	K09849
Plampa88974	K04079
Plampa355432	K14321
Plampa101170	K01881
Plampa226276	K07554
Plampa358	K23164
Plampa352882	K14407
Plampa317655	K15759
Plampa133000	K14835
Plampa130202	K01109
Plampa81470	K07936
Plampa2675	K06110
Plampa74123	K01074
Plampa348504	K00236
Plampa123658	K02303
Plampa3032	K07512
Plampa135570	K17906
Plampa355939	K04638
Plampa16528	K20177
Plampa142834	K23294
Plampa583	K02154
Plampa77970	K14792
Plampa493	K13177
Plampa332865	K00922
Plampa37820	K22754
Plampa185739	K00763
Plampa100022	K14794
Plampa122185	K04345
Plampa168196	K03178
Plampa112476	K06699
Plampa51330	K14213
Plampa4928	K24816
Plampa2277	K23820
Plampa81401	K20476
Plampa67123	K15255
Plampa100064	K02035
Plampa264640	K01738
Plampa67513	K04437
Plampa48762	K00922
Plampa173913	K05028
Plampa5099	K10704
Plampa46384	K00787
Plampa9408	K18272
Plampa348522	K23503
Plampa25834	K07299
Plampa112725	K08908
Plampa6370	K13352
Plampa6068	K18423
Plampa314358	K08495
Plampa363143	K12479
Plampa307424	K08272
Plampa349788	K23712
Plampa14987	K17341
Plampa7714	K16551
Plampa345743	K24166
Plampa140413	K14861
Plampa32915	K10104
Plampa217469	K01930
Plampa211188	K02863
Plampa325502	K07497
Plampa6304	K20402
Plampa353172	K02480
Plampa317264	K04043
Plampa131700	K03031
Plampa6187	K11137
Plampa218606	K01803
Plampa21637	K05665
Plampa361289	K20826
Plampa302174	K11835
Plampa79731	K00472
Plampa28559	K15203
Plampa25163	K11997
Plampa40269	K16726
Plampa1060	K01464
Plampa85412	K10901
Plampa3772	K01116
Plampa54195	K06129
Plampa37662	K01886
Plampa728	K18533
Plampa257847	K01210
Plampa2220	K11415
Plampa69078	K04079
Plampa20204	K21853
Plampa176587	K00286
Plampa7054	K04615
Plampa34501	K14792
Plampa321219	K20291
Plampa56482	K04550
Plampa3480	K14379
Plampa4984	K05661
Plampa4251	K07524
Plampa265516	K08766
Plampa328147	K08341
Plampa4568	K17307
Plampa88481	K07874
Plampa100208	K17495
Plampa2465	K16175
Plampa50865	K01897
Plampa36676	K10645
Plampa8875	K11649
Plampa71007	K08889
Plampa308370	K02875
Plampa167388	K02154
Plampa1730	K11644
Plampa123897	K02899
Plampa60840	K12811
Plampa80686	K03006
Plampa91797	K02730
Plampa7474	K18179
Plampa320672	K06972
Plampa29946	K09624
Plampa25167	K12850
Plampa51110	K11836
Plampa364987	K03253
Plampa31037	K16740
Plampa16292	K12132
Plampa360807	K19484
Plampa369999	K02168
Plampa59398	K22754
Plampa51501	K02599
Plampa111263	K08782
Plampa36219	K08341
Plampa210719	K24205
Plampa14461	K10838
Plampa315536	K05312
Plampa51935	K00645
Plampa209551	K15448
Plampa349266	K01952
Plampa6908	K01847
Plampa5604	K10457
Plampa4234	K18730
Plampa266520	K09415
Plampa1192	K17341
Plampa67462	K01379
Plampa54233	K10414
Plampa119723	K18400
Plampa377725	K20198
Plampa4627	K09403
Plampa4935	K10799
Plampa184154	K12132
Plampa317550	K25207
Plampa99680	K01648
Plampa132982	K12861
Plampa228869	K17618
Plampa45470	K07497
Plampa29818	K10446
Plampa2323	K01634
Plampa4328	K23732
Plampa64896	K05770
Plampa371346	K01938
Plampa308173	K01126
Plampa121622	K16296
Plampa257724	K24962
Plampa56729	K06545
Plampa353017	K02873
Plampa23111	K06496
Plampa3783	K05290
Plampa99634	K20224
Plampa99177	K23552
Plampa376948	K13191
Plampa76130	K14009
Plampa166473	K00797
Plampa212532	K08490
Plampa40977	K16465
Plampa303948	K01082
Plampa170817	K02896
Plampa130006	K00710
Plampa152948	K10609
Plampa266099	K06692
Plampa79308	K16726
Plampa135853	K14286
Plampa255188	K04523
Plampa49072	K15255
Plampa210864	K14852
Plampa59971	K08770
Plampa225817	K18585
Plampa86701	K17751
Plampa168972	K05665
Plampa219716	K18757
Plampa22727	K14007
Plampa157392	K19787
Plampa351208	K21456
Plampa505	K11406
Plampa23059	K10203
Plampa122254	K15290
Plampa323699	K02956
Plampa98930	K16794
Plampa36375	K17341
Plampa54666	K05643
Plampa99619	K20718
Plampa7064	K09848
Plampa4701	K14772
Plampa218646	K16298
Plampa302	K17307
Plampa4121	K17690
Plampa358576	K08910
Plampa85139	K02265
Plampa110937	K10802
Plampa42247	K10380
Plampa209780	K04043
Plampa302827	K15227
Plampa302330	K03839
Plampa179260	K12132
Plampa219261	K00820
Plampa15112	K04730
Plampa21092	K01845
Plampa217129	K12598
Plampa80448	K17914
Plampa57767	K02127
Plampa72294	K12349
Plampa98670	K10046
Plampa50374	K21138
Plampa222209	K12618
Plampa120587	K01411
Plampa169242	K16175
Plampa369481	K08835
Plampa2845	K16506
Plampa79999	K07206
Plampa58477	K24675
Plampa39804	K03595
Plampa51357	K14798
Plampa40202	K02953
Plampa30529	K22614
Plampa18329	K08727
Plampa301201	K12385
Plampa132665	K01953
Plampa22382	K07497
Plampa7106	K09849
Plampa220891	K01425
Plampa366118	K00558
Plampa48422	K18890
Plampa6420	K02308
Plampa78143	K07877
Plampa25281	K07497
Plampa15835	K21853
Plampa35696	K03955
Plampa63343	K06269
Plampa255916	K10046
Plampa2804	K09540
Plampa68297	K17570
Plampa257710	K17095
Plampa51418	K12602
Plampa36618	K01803
Plampa88906	K13861
Plampa320685	K13525
Plampa16769	K15109
Plampa371950	K00135
Plampa13100	K09848
Plampa338728	K13412
Plampa3418	K17926
Plampa13392	K03038
Plampa924	K10408
Plampa263846	K12182
Plampa9504	K13347
Plampa5032	K14568
Plampa171850	K05702
Plampa115886	K05119
Plampa354014	K10277
Plampa255514	K04079
Plampa192114	K20180
Plampa257865	K08343
Plampa77104	K19619
Plampa209405	K14407
Plampa344496	K07240
Plampa25068	K02131
Plampa64153	K02704
Plampa37719	K16542
Plampa264850	K09419
Plampa68191	K21440
Plampa27175	K14398
Plampa280773	K07497
Plampa14052	K10276
Plampa215990	K01363
Plampa226531	K10382
Plampa170477	K13958
Plampa3125	K12373
Plampa350553	K15102
Plampa247380	K24725
Plampa276000	K00033
Plampa220710	K00451
Plampa169256	K11984
Plampa101397	K06627
Plampa35013	K07936
Plampa41055	K00411
Plampa427	K12830
Plampa42156	K25409
Plampa102442	K10512
Plampa7659	K12376
Plampa545	K24834
Plampa12532	K05658
Plampa23660	K17619
Plampa31241	K20715
Plampa383	K01307
Plampa126503	K17700
Plampa99430	K00966
Plampa48618	K16578
Plampa255754	K12275
Plampa107048	K01551
Plampa176884	K00799
Plampa15394	K20412
Plampa344757	K01061
Plampa8476	K04353
Plampa60628	K24469
Plampa268654	K17339
Plampa13434	K16197
Plampa211195	K03030
Plampa80090	K05110
Plampa220551	K06631
Plampa172472	K02727
Plampa4306	K10579
Plampa350168	K08076
Plampa35542	K04513
Plampa11242	K01425
Plampa119296	K10297
Plampa258541	K01689
Plampa3847	K02842
Plampa51211	K19944
Plampa61720	K06051
Plampa3920	K09848
Plampa221592	K00620
Plampa10849	K10734
Plampa112542	K10582
Plampa331	K14724
Plampa85439	K02987
Plampa78406	K16465
Plampa8069	K09848
Plampa7290	K03062
Plampa104257	K05099
Plampa145027	K14848
Plampa1637	K07188
Plampa55047	K17592
Plampa18587	K12451
Plampa11806	K12823
Plampa143175	K24992
Plampa111608	K00164
Plampa43033	K01601
Plampa16663	K14772
Plampa225955	K02985
Plampa55995	K05503
Plampa7190	K15259
Plampa17388	K01602
Plampa1686	K12035
Plampa284487	K03263
Plampa131869	K09574
Plampa130130	K24675
Plampa441	K00643
Plampa129792	K07874
Plampa2825	K00637
Plampa348101	K01507
Plampa37988	K04351
Plampa211339	K03767
Plampa258675	K00812
Plampa269960	K18723
Plampa51684	K04515
Plampa9367	K06052
Plampa228959	K05592
Plampa39608	K04498
Plampa209422	K03661
Plampa15792	K00434
Plampa49358	K08133
Plampa53308	K19511
Plampa119323	K07375
Plampa48729	K08056
Plampa2026	K17512
Plampa119743	K03259
Plampa54026	K09848
Plampa9679	K21766
Plampa26595	K12035
Plampa154261	K01265
Plampa15235	K00901
Plampa112506	K10369
Plampa144142	K03702
Plampa165627	K08770
Plampa4778	K00059
Plampa258475	K12812
Plampa131319	K04802
Plampa79690	K22503
Plampa346997	K00134
Plampa269898	K09419
Plampa278974	K12882
Plampa59799	K13184
Plampa34947	K03955
Plampa349005	K02358
Plampa227980	K00434
Plampa25259	K24142
Plampa18714	K16343
Plampa8296	K24886
Plampa60158	K01641
Plampa40929	K02936
Plampa45991	K20183
Plampa349187	K03233
Plampa5696	K13376
Plampa256639	K02936
Plampa312533	K24761
Plampa30120	K01697
Plampa304790	K13126
Plampa371566	K14572
Plampa319813	K02872
Plampa94071	K07238
Plampa367958	K02155
Plampa36382	K09848
Plampa14692	K23851
Plampa91285	K00135
Plampa96633	K10380
Plampa344546	K02148
Plampa31571	K00294
Plampa83260	K07494
Plampa182917	K01113
Plampa22338	K02155
Plampa329797	K19029
Plampa370486	K10703
Plampa5189	K17509
Plampa74534	K20715
Plampa305757	K07562
Plampa15107	K10380
Plampa69114	K15102
Plampa146783	K01530
Plampa257911	K11276
Plampa53183	K20133
Plampa50918	K05693
Plampa8040	K10691
Plampa302163	K17081
Plampa270496	K10572
Plampa111209	K19371
Plampa20514	K10951
Plampa180301	K02934
Plampa165853	K00760
Plampa22234	K24141
Plampa181587	K00026
Plampa126222	K10380
Plampa84976	K00688
Plampa3582	K16343
Plampa300704	K00799
Plampa47568	K17893
Plampa261707	K13089
Plampa132174	K21068
Plampa317668	K12571
Plampa3532	K15105
Plampa5019	K16526
Plampa40902	K09500
Plampa4874	K01758
Plampa184982	K08701
Plampa36912	K01530
Plampa322501	K01802
Plampa142004	K22686
Plampa20300	K05294
Plampa4275	K07874
Plampa302442	K15289
Plampa557	K01639
Plampa114786	K10534
Plampa696	K10532
Plampa59085	K18081
Plampa267632	K01872
Plampa58976	K00264
Plampa213011	K10534
Plampa29697	K12655
Plampa2741	K00069
Plampa351031	K06445
Plampa184194	K13186
Plampa721	K12816
Plampa164380	K00207
Plampa47483	K03164
Plampa38170	K04097
Plampa113855	K09054
Plampa262243	K03715
Plampa2985	K08906
Plampa349897	K04646
Plampa16687	K11841
Plampa31419	K23424
Plampa110339	K00826
Plampa3633	K19907
Plampa22158	K05592
Plampa286530	K01883
Plampa375161	K02894
Plampa113460	K00592
Plampa104256	K22763
Plampa261646	K13420
Plampa84227	K00844
Plampa311024	K10357
Plampa128929	K24675
Plampa301722	K19199
Plampa367976	K06941
Plampa54978	K12823
Plampa316498	K14258
Plampa116030	K23330
Plampa218164	K00939
Plampa3155	K08052
Plampa346879	K00413
Plampa1042	K01724
Plampa172962	K04043
Plampa126417	K07378
Plampa10575	K01187
Plampa20522	K20308
Plampa213769	K18203
Plampa375200	K03021
Plampa54066	K14400
Plampa54581	K09624
Plampa46686	K14857
Plampa16167	K07890
Plampa14139	K09228
Plampa276945	K06013
Plampa7314	K21772
Plampa52738	K00434
Plampa301190	K00700
Plampa77795	K14015
Plampa169983	K07953
Plampa13668	K01942
Plampa257664	K02208
Plampa34574	K12196
Plampa359130	K07430
Plampa84908	K02874
Plampa137376	K01358
Plampa6251	K22390
Plampa150777	K17263
Plampa311	K14396
Plampa292881	K01719
Plampa41254	K19527
Plampa6054	K12667
